
num_topics;timepoint;rank;term;probability;
0;0;0;dna;0.17760238845617474;
0;0;1;clone;0.10337666700129794;
0;0;2;restriction;0.0891892288045198;
0;0;3;genotype;0.07654587842000526;
0;0;4;fragment;0.07113640840720045;
0;0;5;probe;0.06050029729442351;
0;0;6;hybridization;0.04247906128939012;
0;0;7;race;0.02718317671927179;
0;0;8;rrna;0.026626215590860244;
0;0;9;sequence;0.018311774696615258;
0;0;10;rdna;0.017944690530063645;
0;0;11;fingerprint;0.01680516498902408;
0;0;12;library;0.015683281603807758;
0;0;13;cluster;0.012504708820120326;
0;0;14;representative;0.011366987022048464;
0;0;15;division;0.011156935014804553;
0;0;16;blot;0.007865241793258095;
0;0;17;spacer;0.006202219916299568;
0;0;18;relative;0.005387525986950529;
0;0;19;majority;0.004886685583926922;
0;0;20;16s;0.004195503174543685;
0;0;21;member;0.004056855957789644;
0;0;22;proteobacteria;0.0031686203710688094;
0;0;23;phylum;0.0029215762403704973;
0;0;24;operon;0.0026425365730341267;
0;0;25;rna;0.00243756180382093;
0;0;26;insert;0.002379909065028294;
0;0;27;oligonucleotides;0.0023648256043257436;
0;0;28;federation;0.0023375797690580458;
0;0;29;subclass;0.0022106161531064627;
0;0;30;kingdom;0.002193727779070567;
0;0;31;societies;0.0021889470754069417;
0;0;32;ribosomal;0.002173992369888893;
0;0;33;archaea;0.0021394211012036057;
0;0;34;signature;0.0021191250240439235;
0;0;35;bacterium;0.002080102723895833;
0;0;36;microbiological;0.0018599144095483907;
0;0;37;oligonucleotide;0.0018370872095102057;
0;0;38;ssu;0.001692863170211768;
0;0;39;affiliation;0.00161002431116063;
0;0;40;european;0.001554467866431691;
0;0;41;subgroup;0.001425157421692324;
0;0;42;branch;0.0014231209030371823;
0;0;43;descent;0.001392163871806378;
0;0;44;bacteria;0.0013855224364993132;
0;0;45;subdivision;0.0012340103082607475;
0;0;46;sequencing;0.0011188722730511547;
0;0;47;database;0.0010878565354961445;
0;0;48;similarity;0.0010399704288824262;
0;0;49;bv;9.437087188251099E-4;
0;1;0;sequence;0.29500027217960856;
0;1;1;clone;0.08867679819847549;
0;1;2;rrna;0.042394823985913974;
0;1;3;member;0.0404832892956709;
0;1;4;probe;0.03929213136003609;
0;1;5;hybridization;0.036945959058153593;
0;1;6;rdna;0.0360082211975175;
0;1;7;library;0.024521475361638657;
0;1;8;rna;0.015824276987330764;
0;1;9;spacer;0.012252429930365322;
0;1;10;division;0.01135702254449221;
0;1;11;bacterium;0.011187009946560128;
0;1;12;representative;0.010822575526683007;
0;1;13;cluster;0.01064803405117999;
0;1;14;subgroup;0.010612093839217794;
0;1;15;branch;0.010423764828452435;
0;1;16;16s;0.008551222703504942;
0;1;17;archaea;0.007533059587309588;
0;1;18;proteobacteria;0.007456478702487575;
0;1;19;bv;0.00687865596531206;
0;1;20;majority;0.006848771403141844;
0;1;21;blot;0.00672377181441404;
0;1;22;european;0.006691113341023075;
0;1;23;dna;0.005929603094500331;
0;1;24;phylum;0.005535729078480642;
0;1;25;federation;0.005167682242378647;
0;1;26;societies;0.004898618756654669;
0;1;27;relative;0.004706461157307529;
0;1;28;operon;0.0046724393449636605;
0;1;29;subclass;0.004598123470101734;
0;1;30;microbiological;0.004141397449140034;
